trade_date,open,high,low,close,volume,turnover_rate
2024-05-27,27.76,27.76,27.02,27.37,21265.0,
2024-05-28,27.71,27.78,27.39,27.56,11559.0,
2024-05-29,27.24,27.62,27.17,27.27,9887.0,
2024-05-30,27.14,27.4,26.88,27.29,12241.0,
2024-05-31,27.04,27.7,27.04,27.56,9084.0,
2024-06-03,27.42,27.64,26.41,26.56,20792.0,
2024-06-04,26.56,26.63,25.79,26.16,15765.0,
2024-06-05,26.14,26.14,25.34,25.4,15240.0,
2024-06-06,25.34,25.72,24.73,24.84,14448.0,
2024-06-07,24.57,24.64,23.03,23.46,91466.0,
2024-06-11,23.42,23.49,22.78,23.06,46229.0,
2024-06-12,23.4,23.44,21.9,22.39,64023.0,
2024-06-13,22.38,22.44,21.82,22.12,43889.0,
2024-06-14,22.07,22.64,21.69,22.33,37684.0,
2024-06-17,22.17,22.84,21.99,22.68,43368.0,
2024-06-18,22.44,22.66,21.96,22.19,38319.0,
2024-06-19,22.04,22.21,21.53,21.94,35945.0,
2024-06-20,21.64,21.9,21.28,21.3,29037.0,
2024-06-21,21.27,21.54,20.98,21.51,25647.0,
2024-06-24,21.39,21.41,20.55,20.55,24205.0,
2024-06-25,20.56,21.22,20.49,21.14,32957.0,
2024-06-26,21.04,21.75,20.79,21.66,27091.0,
2024-06-27,21.6,22.75,21.43,22.14,53966.0,
2024-06-28,21.85,22.74,21.68,22.22,44753.0,
2024-07-01,22.23,22.74,21.87,22.33,36583.0,
2024-07-02,22.33,22.42,21.99,22.11,21682.0,
2024-07-03,22.04,22.1,21.71,21.79,15505.0,
2024-07-04,21.8,21.92,21.22,21.44,19131.0,
2024-07-05,21.44,21.88,20.83,21.84,19685.0,
2024-07-08,21.62,22.14,21.41,21.53,21817.0,
2024-07-09,21.69,22.11,21.07,21.89,37473.0,
2024-07-10,21.78,23.06,21.74,23.04,46999.0,
2024-07-11,23.47,23.72,23.12,23.49,41480.0,
2024-07-12,23.49,24.04,23.15,23.86,34314.0,
2024-07-15,23.64,23.87,23.27,23.27,23690.0,
2024-07-16,23.39,23.84,23.04,23.84,28455.0,
2024-07-17,23.74,24.44,23.64,24.18,26003.0,
2024-07-18,23.94,24.42,23.65,24.39,25408.0,
2024-07-19,24.39,24.39,23.75,24.11,19461.0,
2024-07-22,24.07,24.24,23.5,23.97,22908.0,
2024-07-23,23.84,24.12,23.48,23.5,20225.0,
2024-07-24,23.49,23.49,22.76,22.89,22283.0,
2024-07-25,22.74,23.29,22.54,22.91,17478.0,
2024-07-26,22.78,23.28,22.77,23.07,12682.0,
2024-07-29,22.96,24.14,22.8,24.08,30468.0,
2024-07-30,24.6,24.6,23.81,23.97,15293.0,
2024-07-31,23.82,25.13,23.79,24.78,24825.0,
2024-08-01,24.89,25.14,24.59,24.79,15255.0,
2024-08-02,24.54,24.89,24.24,24.77,16123.0,
2024-08-05,24.64,25.43,24.42,24.42,27732.0,
2024-08-06,24.36,24.89,24.3,24.71,14333.0,
2024-08-07,24.72,25.03,24.45,24.97,12383.0,
2024-08-08,24.89,25.49,24.74,25.18,26996.0,
2024-08-09,25.14,25.86,24.94,24.94,15720.0,
2024-08-12,24.85,25.04,24.39,24.46,11230.0,
2024-08-13,24.26,24.43,23.28,24.15,25880.0,
2024-08-14,23.9,24.12,23.3,23.58,20068.0,
2024-08-15,23.49,23.65,22.41,22.68,28456.0,
2024-08-16,22.64,22.94,22.44,22.59,11504.0,
2024-08-19,22.53,22.77,22.15,22.28,12270.0,
2024-08-20,22.38,22.38,21.82,21.82,10853.0,
2024-08-21,21.82,22.02,21.54,21.58,10177.0,
2024-08-22,21.56,21.71,21.24,21.43,7694.0,
2024-08-23,21.39,21.62,20.69,21.4,11864.0,
2024-08-26,21.21,21.64,21.12,21.57,10745.0,
2024-08-27,21.44,21.58,21.16,21.34,11553.0,
2024-08-28,21.15,21.54,21.05,21.53,10239.0,
2024-08-29,21.53,21.66,21.32,21.51,11249.0,
2024-08-30,21.33,22.87,21.33,22.66,22131.0,
2024-09-02,22.66,22.89,22.09,22.26,10808.0,
2024-09-03,22.06,22.44,22.06,22.4,6466.0,
2024-09-04,22.37,22.8,22.14,22.6,8624.0,
2024-09-05,22.42,22.76,22.42,22.54,6798.0,
2024-09-06,22.54,22.77,21.91,22.14,6456.0,
2024-09-09,22.06,22.2,21.7,21.79,6694.0,
2024-09-10,22.02,22.02,21.51,21.84,5180.0,
2024-09-11,21.97,22.04,21.65,22.01,4600.0,
2024-09-12,22.01,22.32,21.84,22.18,8804.0,
2024-09-13,22.18,22.52,21.55,21.68,10838.0,
2024-09-18,21.74,21.96,20.74,21.18,14575.0,
2024-09-19,21.24,21.7,21.12,21.43,7043.0,
2024-09-20,21.39,21.47,20.89,21.24,8339.0,
2024-09-23,21.07,21.42,21.02,21.35,6389.0,
2024-09-24,21.39,22.24,21.26,22.19,17065.0,
2024-09-25,22.64,22.89,21.97,22.0,19809.0,
2024-09-26,21.86,22.67,21.76,22.61,13798.0,
2024-09-27,22.95,24.74,22.82,24.09,29153.0,
2024-09-30,25.14,26.54,24.61,26.54,91322.0,
2024-10-08,29.14,29.23,26.94,29.22,119586.0,
2024-10-09,28.79,28.79,26.85,27.43,73883.0,
2024-10-10,28.64,28.64,24.65,25.84,117092.0,
2024-10-11,25.05,25.09,23.74,24.09,52636.0,
2024-10-14,24.0,24.54,23.07,24.27,50651.0,
2024-10-15,24.01,25.16,23.67,24.62,54658.0,
2024-10-16,24.14,26.24,24.14,25.77,84318.0,
2024-10-17,25.79,27.84,25.79,26.74,101843.0,
2024-10-18,26.74,27.52,25.94,27.12,93499.0,
2024-10-21,27.12,28.14,26.75,27.37,91335.0,
2024-10-22,27.37,27.37,26.15,26.55,61304.0,
2024-10-23,27.22,28.95,26.72,28.85,160014.0,
2024-10-24,28.67,28.82,27.94,28.24,76424.0,
2024-10-25,28.45,30.09,28.42,29.67,100103.0,
2024-10-28,29.67,30.41,28.84,29.44,97442.0,
2024-10-29,29.45,29.83,29.11,29.36,58533.0,
2024-10-30,29.32,29.44,28.04,29.17,72209.0,
2024-10-31,29.16,29.62,28.8,29.34,45668.0,
2024-11-01,28.93,29.32,28.04,28.28,41360.0,
2024-11-04,28.29,28.78,27.85,28.69,33471.0,
2024-11-05,28.64,28.92,28.26,28.64,34224.0,
2024-11-06,28.61,29.01,27.77,27.94,42844.0,
2024-11-07,27.94,28.28,27.45,28.24,30992.0,
2024-11-08,28.36,28.67,27.84,27.84,41916.0,
2024-11-11,27.94,30.0,27.78,29.43,81075.0,
2024-11-12,30.04,31.02,29.59,30.54,87156.0,
2024-11-13,30.44,30.79,29.35,30.7,53606.0,
2024-11-14,30.64,31.33,29.9,30.08,43457.0,
2024-11-15,29.65,30.12,28.84,29.4,50070.0,
2024-11-18,29.25,29.44,28.13,29.02,40420.0,
2024-11-19,29.04,29.8,27.92,28.8,36507.0,
2024-11-20,28.53,30.26,28.3,30.2,46427.0,
2024-11-21,30.14,31.74,29.77,30.85,75955.0,
2024-11-22,31.04,31.04,29.75,30.14,34513.0,
2024-11-25,30.23,30.94,29.04,29.64,38503.0,
2024-11-26,29.54,29.97,29.09,29.35,19234.0,
2024-11-27,29.43,29.99,28.36,29.89,31282.0,
2024-11-28,29.74,31.68,29.39,30.93,65250.0,
2024-11-29,30.71,31.52,30.14,31.22,39435.0,
2024-12-02,31.73,31.73,30.77,31.36,35023.0,
2024-12-03,31.74,31.83,28.53,29.37,95090.0,
2024-12-04,29.19,29.34,28.76,29.0,27143.0,
2024-12-05,28.79,29.23,28.64,29.14,24089.0,
2024-12-06,29.19,29.24,28.62,28.64,35242.0,
2024-12-09,28.64,29.21,28.39,28.74,24406.0,
2024-12-10,29.12,29.43,28.42,28.59,40098.0,
2024-12-11,28.39,28.66,28.22,28.39,25143.0,
2024-12-12,28.44,28.58,27.98,28.37,26704.0,
2024-12-13,28.44,28.6,27.76,28.14,25316.0,
2024-12-16,27.94,28.46,27.84,28.1,14611.0,
2024-12-17,28.04,28.04,26.94,27.27,24680.0,
2024-12-18,26.94,27.24,26.4,27.14,22151.0,
2024-12-19,26.65,27.88,26.65,27.63,22605.0,
2024-12-20,27.63,27.81,27.23,27.39,18120.0,
2024-12-23,27.34,27.36,26.63,26.83,14373.0,
2024-12-24,26.81,27.3,26.65,27.03,16821.0,
2024-12-25,26.93,27.01,26.33,26.79,14464.0,
2024-12-26,26.78,26.91,26.3,26.54,15113.0,
2024-12-27,26.34,28.39,26.34,28.1,52458.0,
2024-12-30,28.54,28.63,27.59,27.97,18618.0,
2024-12-31,27.97,28.8,27.72,28.24,33554.0,
2025-01-02,27.94,28.23,26.55,26.9,23118.0,
2025-01-03,26.9,26.99,25.84,25.84,16542.0,
2025-01-06,25.83,26.21,25.24,25.56,14373.0,
2025-01-07,25.53,25.86,25.32,25.86,8633.0,
2025-01-08,25.86,26.07,24.87,25.85,12784.0,
2025-01-09,26.04,26.12,25.46,25.65,13299.0,
2025-01-10,25.51,25.69,24.98,25.01,11991.0,
2025-01-13,25.05,25.22,24.44,25.22,11529.0,
2025-01-14,25.22,26.14,25.22,26.12,15080.0,
2025-01-15,26.61,26.74,25.91,26.01,14197.0,
2025-01-16,26.32,26.38,25.28,25.63,15046.0,
2025-01-17,25.43,25.94,25.39,25.73,8816.0,
2025-01-20,25.99,26.42,25.73,26.0,13302.0,
2025-01-21,26.23,26.41,25.54,25.88,11687.0,
2025-01-22,25.88,26.04,25.41,25.72,28700.0,
2025-01-23,26.04,26.93,25.65,26.49,51235.0,
2025-01-24,26.55,27.44,26.21,26.94,33695.0,
2025-01-27,26.96,27.41,26.3,26.64,18877.0,
2025-02-05,26.85,26.85,26.08,26.57,13563.0,
2025-02-06,26.57,26.86,26.22,26.8,16326.0,
2025-02-07,26.72,29.52,26.67,29.04,102444.0,
2025-02-10,28.98,30.24,27.87,29.4,103181.0,
2025-02-11,29.03,29.24,28.19,28.31,43249.0,
2025-02-12,28.15,28.24,27.33,27.84,42818.0,
2025-02-13,27.67,28.24,27.62,27.64,33931.0,
2025-02-14,27.47,30.44,27.46,30.44,156965.0,
2025-02-17,30.44,30.93,29.54,29.92,141309.0,
2025-02-18,29.65,29.92,28.02,28.69,110150.0,
2025-02-19,28.44,29.41,28.35,29.17,77910.0,
2025-02-20,28.99,29.84,28.98,29.41,68789.0,
2025-02-21,29.39,30.71,28.7,30.58,123475.0,
2025-02-24,30.27,30.27,29.34,29.56,84175.0,
2025-02-25,29.24,31.3,28.65,30.46,92473.0,
2025-02-26,30.17,30.83,30.07,30.15,51212.0,
2025-02-27,30.15,31.04,29.76,30.05,56291.0,
2025-02-28,30.02,30.44,29.43,29.46,47980.0,
2025-03-03,29.64,31.11,29.38,29.85,67451.0,
2025-03-04,29.99,29.99,27.99,29.13,60101.0,
2025-03-05,28.84,29.6,28.55,28.85,34280.0,
2025-03-06,28.96,30.2,28.88,29.96,67453.0,
2025-03-07,29.72,30.33,29.35,29.54,39480.0,
2025-03-10,30.52,30.54,29.64,29.98,38191.0,
2025-03-11,29.49,30.32,29.41,29.77,35393.0,
2025-03-12,30.02,31.12,29.8,30.42,53418.0,
2025-03-13,30.2,30.48,29.32,29.5,39357.0,
2025-03-14,29.61,30.19,29.44,30.04,30227.0,
2025-03-17,30.34,30.72,29.95,30.63,52520.0,
2025-03-18,30.77,30.9,30.3,30.74,44025.0,
2025-03-19,30.69,31.52,30.54,31.03,57647.0,
