date,reason
2026-01-01,New Year's Day
2026-01-02,New Year's Day
2026-02-16,Spring Festival
2026-02-17,Spring Festival
2026-02-18,Spring Festival
2026-02-19,Spring Festival
2026-02-20,Spring Festival
2026-02-23,Spring Festival
2026-04-06,Qingming Festival
2026-05-01,Labor Day
2026-05-04,Labor Day
2026-05-05,Labor Day
2026-06-19,Dragon Boat Festival
2026-09-25,Mid-Autumn Festival
2026-10-01,National Day/Mid-Autumn Festival
2026-10-02,National Day/Mid-Autumn Festival
2026-10-05,National Day/Mid-Autumn Festival
2026-10-06,National Day/Mid-Autumn Festival
2026-10-07,National Day/Mid-Autumn Festival
