symbol,sector,sector_standard,change_date
000001,示例板块,,
000002,示例板块,,
000004,横向通用软件,申银万国行业分类标准,2021-07-30
000006,住宅开发,申银万国行业分类标准,2017-06-29
000007,商业物业经营,申银万国行业分类标准,2021-07-30
000008,轨交设备Ⅲ,申银万国行业分类标准,2015-07-01
000009,电池化学品,申银万国行业分类标准,2021-07-30
000010,园林工程,申银万国行业分类标准,2021-07-30
000012,玻璃制造,申银万国行业分类标准,2008-06-02
000014,住宅开发,申银万国行业分类标准,2001-05-01
000016,冰洗,申银万国行业分类标准,2024-07-30
000017,钟表珠宝,申银万国行业分类标准,2022-07-29
000019,粮油加工,申银万国行业分类标准,2021-07-30
000020,面板,申银万国行业分类标准,2021-07-30
000021,消费电子零部件及组装,申银万国行业分类标准,2021-07-30
000025,综合Ⅲ,申银万国行业分类标准,2023-07-04
000026,钟表珠宝,申银万国行业分类标准,2021-07-30
000028,医药流通,申银万国行业分类标准,2021-07-30
000030,底盘与发动机系统,申银万国行业分类标准,2021-07-30
000031,商业地产,申银万国行业分类标准,2021-07-30
000032,其他专业工程,申银万国行业分类标准,2022-07-29
000034,IT服务Ⅲ,申银万国行业分类标准,2021-07-30
000035,固废治理,申银万国行业分类标准,2021-07-30
000036,住宅开发,申银万国行业分类标准,2010-01-08
000037,火力发电,申银万国行业分类标准,2022-07-29
000039,金属制品,申银万国行业分类标准,2021-07-30
000045,面板,申银万国行业分类标准,2014-01-01
000048,生猪养殖,申银万国行业分类标准,2025-08-11
000049,锂电池,申银万国行业分类标准,2021-07-30
000050,面板,申银万国行业分类标准,2010-01-01
000055,其他建材,申银万国行业分类标准,2021-07-30
000056,物业管理,申银万国行业分类标准,2021-07-30
000058,商业物业经营,申银万国行业分类标准,2021-07-30
000059,炼油化工,申银万国行业分类标准,2021-07-30
000060,铅锌,申银万国行业分类标准,2008-06-02
000061,商业物业经营,申银万国行业分类标准,2021-07-30
000062,其他电子Ⅲ,申银万国行业分类标准,2017-06-29
000063,通信网络设备及器件,申银万国行业分类标准,2021-07-30
000065,国际工程,申银万国行业分类标准,2014-01-01
000066,其他计算机设备,申银万国行业分类标准,2021-07-30
000068,综合环境治理,申银万国行业分类标准,2021-07-30
000069,商业地产,申银万国行业分类标准,2021-07-30
000070,通信线缆及配套,申银万国行业分类标准,2021-07-30
000078,医药流通,申银万国行业分类标准,2021-07-30
000088,港口,申银万国行业分类标准,2021-11-12
000089,机场,申银万国行业分类标准,2021-07-30
000090,住宅开发,申银万国行业分类标准,2006-09-01
000096,油品石化贸易,申银万国行业分类标准,2021-07-30
000099,航空运输,申银万国行业分类标准,2021-07-30
000100,面板,申银万国行业分类标准,2019-04-22
000151,贸易Ⅲ,申银万国行业分类标准,2010-10-08
000153,化学制剂,申银万国行业分类标准,2000-09-18
000155,风力发电,申银万国行业分类标准,2021-07-30
000156,电视广播Ⅲ,申银万国行业分类标准,2021-07-30
000157,工程机械整机,申银万国行业分类标准,2021-07-30
000158,IT服务Ⅲ,申银万国行业分类标准,2021-07-30
000159,光伏辅材,申银万国行业分类标准,2024-07-30
000166,证券Ⅲ,申银万国行业分类标准,2015-01-18
000301,炼油化工,申银万国行业分类标准,2021-07-30
000333,空调,申银万国行业分类标准,2013-01-18
000338,底盘与发动机系统,申银万国行业分类标准,2021-07-30
000400,电网自动化设备,申银万国行业分类标准,2021-07-30
000401,水泥制造,申银万国行业分类标准,2008-06-02
000402,商业地产,申银万国行业分类标准,2021-07-30
000403,血液制品,申银万国行业分类标准,2021-07-30
000404,家电零部件Ⅲ,申银万国行业分类标准,2021-07-30
000407,燃气Ⅲ,申银万国行业分类标准,2016-07-01
000408,锂,申银万国行业分类标准,2023-07-04
000409,IT服务Ⅲ,申银万国行业分类标准,2022-07-29
000410,机床工具,申银万国行业分类标准,2008-06-02
000411,医药流通,申银万国行业分类标准,2021-07-30
000415,租赁,申银万国行业分类标准,2021-07-30
000417,多业态零售,申银万国行业分类标准,2023-07-04
000419,多业态零售,申银万国行业分类标准,2014-01-01
000421,综合Ⅲ,申银万国行业分类标准,2023-07-04
000422,氮肥,申银万国行业分类标准,2022-07-29
000425,工程机械整机,申银万国行业分类标准,2021-07-30
000426,铅锌,申银万国行业分类标准,2014-01-01
000428,酒店,申银万国行业分类标准,2021-07-30
000429,高速公路,申银万国行业分类标准,2021-07-30
000430,自然景区,申银万国行业分类标准,2021-07-30
000488,大宗用纸,申银万国行业分类标准,2021-07-30
000498,基建市政工程,申银万国行业分类标准,2021-07-30
000501,百货,申银万国行业分类标准,2017-06-29
000503,垂直应用软件,申银万国行业分类标准,2021-07-30
000504,其他医疗服务,申银万国行业分类标准,2021-07-30
000505,粮油加工,申银万国行业分类标准,2018-07-13
000506,黄金,申银万国行业分类标准,2022-07-29
000507,风力发电,申银万国行业分类标准,2023-07-04
000509,面板,申银万国行业分类标准,2022-07-29
