rank,symbol,name,signal_date,last_bar_date,sample_count,expected_return_5d,probability_up_5d,train_window_5d,ridge_alpha_5d,validation_mae_5d,validation_direction_accuracy_5d,expected_return_10d,probability_up_10d,train_window_10d,ridge_alpha_10d,validation_mae_10d,validation_direction_accuracy_10d
1,600793,宜宾纸业,2026-07-14,2026-07-14,518,0.4591510897110594,1.0,120,10.0,0.07736241110769,0.5333333333333333,0.568248406956392,1.0,120,1.0,0.09533685164155539,0.7166666666666667
2,603989,艾华集团,2026-07-14,2026-07-14,518,0.42707645237146424,1.0,240,0.1,0.12289318836803918,0.7166666666666667,1.0045358023702893,1.0,120,1.0,0.1862417944653846,0.8333333333333334
3,000566,海南海药,2026-07-14,2026-07-14,518,0.42512035067126386,0.9833333333333333,120,1.0,0.0754927933674169,0.6833333333333333,1.09108638837496,1.0,120,0.1,0.11194194435989806,0.65
4,603618,杭电股份,2026-07-14,2026-07-14,518,0.3764470399934999,0.9833333333333333,180,0.1,0.1183268203885621,0.65,0.647116695324669,1.0,240,1.0,0.1333314038423952,0.7166666666666667
5,002841,视源股份,2026-07-14,2026-07-14,518,0.36707384456971104,1.0,120,10.0,0.05567375412441405,0.7166666666666667,0.16061847878118538,1.0,120,0.1,0.0727745838112334,0.8666666666666667
6,002747,埃斯顿,2026-07-14,2026-07-14,518,0.34313508366125495,1.0,120,1.0,0.0682118564597542,0.8333333333333334,0.24529779492345913,1.0,120,10.0,0.09004659749050727,0.9666666666666667
7,600563,法拉电子,2026-07-14,2026-07-14,518,0.33547743473914204,1.0,120,0.1,0.08594115634615697,0.6333333333333333,0.199090126637718,0.9166666666666666,120,10.0,0.12746448462258844,0.6333333333333333
8,600353,旭光电子,2026-07-14,2026-07-14,518,0.3315220836298586,0.9833333333333333,120,0.1,0.12230233465525758,0.7333333333333333,1.1037044514766685,1.0,120,0.1,0.15787479388595135,0.9166666666666666
9,603313,梦百合,2026-07-14,2026-07-14,518,0.32436025842418387,1.0,120,10.0,0.06272841439977367,0.6833333333333333,0.4777755103369911,1.0,120,10.0,0.09680996982200767,0.7166666666666667
10,603937,丽岛新材,2026-07-14,2026-07-14,518,0.2896248740454134,0.9666666666666667,120,10.0,0.08522927984863286,0.65,0.3149647719669929,0.95,120,1.0,0.11239128126495229,0.6166666666666667
11,603178,圣龙股份,2026-07-14,2026-07-14,518,0.28167104615739114,0.9833333333333333,120,0.1,0.0939556002382331,0.7666666666666667,0.4566126479626856,1.0,120,0.1,0.08822647099960855,0.8666666666666667
12,003043,华亚智能,2026-07-14,2026-07-14,518,0.26642111324969076,1.0,120,10.0,0.07383905496735174,0.6,0.5751400496416286,1.0,120,10.0,0.0803007426593143,0.7333333333333333
13,600498,烽火通信,2026-07-14,2026-07-14,518,0.2628883313302711,1.0,180,0.1,0.09452939740386741,0.7,0.46517681032187197,1.0,240,0.1,0.13310528974133476,0.7166666666666667
14,603324,盛剑科技,2026-07-14,2026-07-14,518,0.26213319547573416,0.9666666666666667,120,0.1,0.1038309504464903,0.6166666666666667,0.9445621390657857,1.0,120,1.0,0.1146258496282042,0.7166666666666667
15,600909,华安证券,2026-07-14,2026-07-14,518,0.260580237707721,0.9833333333333333,120,0.1,0.09660519936848459,0.6166666666666667,0.6610610973736354,1.0,180,0.1,0.1443055776288368,0.6833333333333333
16,603001,奥康国际,2026-07-14,2026-07-14,502,0.25781457450356704,0.95,120,0.1,0.09749020376895547,0.5833333333333334,0.09321810413487686,0.85,240,1.0,0.09313344813587814,0.7166666666666667
