Daily Recommendations
字段说明(中文): 运行时间 | 交易日 | 股票代码 | 股票名称 | 筛选模式 | 总分 | 收盘价 | 止损价 | 止盈价 | 建议持股天数
Field Mapping(English): run_time | trade_date | symbol | name | threshold_mode | score_total | close | stop_loss_price | take_profit_price | suggested_holding_days

运行时间            | 交易日     | 代码   | 名称     | 模式   | 总分  | 收盘价 | 止损价 | 止盈价 | 建议持股天数 | 退出规则                                                       
--------------------+------------+--------+----------+--------+-------+--------+--------+--------+--------------+----------------------------------------------------------------
2026-03-13 15:25:40 | 2026-03-13 | 002299 | 圣农发展 | normal | 68.49 | 19.02  | 18.18  | 20.69  | 3            |                                                                
2026-03-13 15:25:40 | 2026-03-13 | 600202 | 哈空调   | normal | 68.15 | 6.43   | 6.14   | 6.99   | 2            |                                                                
2026-03-13 15:25:40 | 2026-03-13 | 002170 | 芭田股份 | normal | 67.47 | 14.01  | 13.01  | 15.99  | 3            |                                                                
2026-03-15 12:23:58 | 2026-03-16 | 603519 | 立霸股份 | normal | 70.76 | 13.74  | 13.21  | 14.78  | 1            |                                                                
2026-03-15 12:23:59 | 2026-03-16 | 603856 | 东宏股份 | normal | 70.37 | 13.99  | 13.12  | 15.71  | 1            |                                                                
2026-03-15 12:23:59 | 2026-03-16 | 002929 | 润建股份 | normal | 69.81 | 50.2   | 45.73  | 59.13  | 1            |                                                                
2026-03-16 20:57:16 | 2026-03-17 | 600528 | 中铁工业 | normal | 73.53 | 8.51   | 8.23   | 9.06   | 2            |                                                                
2026-03-16 20:57:16 | 2026-03-17 | 600426 | 华鲁恒升 | normal | 70.76 | 39.21  | 34.7   | 48.22  | 3            |                                                                
2026-03-16 20:57:16 | 2026-03-17 | 600582 | 天地科技 | normal | 70.7  | 6.15   | 5.97   | 6.49   | 2            |                                                                
2026-03-17 22:09:38 | 2026-03-18 | 000539 | 粤电力Ａ | normal | 71.18 | 5.1    | 4.84   | 5.6    | 1            |                                                                
2026-03-17 22:09:38 | 2026-03-18 | 000966 | 长源电力 | normal | 70.87 | 4.81   | 4.52   | 5.37   | 1            |                                                                
2026-03-17 22:09:38 | 2026-03-18 | 001207 | 联科科技 | normal | 70.82 | 28.47  | 26.3   | 32.79  | 1            |                                                                
2026-03-18 22:14:51 | 2026-03-19 | 600935 | 华塑股份 | normal | 73.74 | 3.0    | 2.75   | 3.49   | 1            |                                                                
2026-03-18 22:14:51 | 2026-03-19 | 601001 | 晋控煤业 | normal | 71.59 | 17.21  | 15.71  | 20.19  | 1            |                                                                
2026-03-18 22:14:51 | 2026-03-19 | 605011 | 杭州热电 | normal | 71.4  | 21.3   | 20.47  | 22.94  | 1            |                                                                
2026-03-18 22:22:38 | 2026-03-19 | 600935 | 华塑股份 | normal | 73.74 | 3.0    | 2.75   | 3.49   | 1            |                                                                
2026-03-18 22:22:38 | 2026-03-19 | 601001 | 晋控煤业 | normal | 71.59 | 17.21  | 15.71  | 20.19  | 1            |                                                                
2026-03-18 22:22:38 | 2026-03-19 | 605011 | 杭州热电 | normal | 71.4  | 21.3   | 20.47  | 22.94  | 1            |                                                                
2026-03-19 21:51:54 | 2026-03-20 | 600132 | 重庆啤酒 | normal | 72.18 | 56.93  | 54.6   | 61.58  | 1            |                                                                
2026-03-19 21:51:54 | 2026-03-20 | 603050 | 科林电气 | normal | 72.06 | 22.86  | 20.71  | 27.15  | 1            |                                                                
2026-03-19 21:51:54 | 2026-03-20 | 603565 | 中谷物流 | normal | 70.39 | 11.01  | 10.64  | 11.74  | 1            |                                                                
2026-03-22 21:43:39 | 2026-03-23 | 001382 | 新亚电缆 | normal | 72.92 | 22.4   | 20.62  | 25.94  | 1            |                                                                
2026-03-22 21:43:39 | 2026-03-23 | 002840 | 华统股份 | normal | 70.01 | 10.02  | 9.56   | 10.92  | 1            |                                                                
2026-03-22 21:43:39 | 2026-03-23 | 600461 | 洪城环境 | normal | 69.12 | 10.09  | 9.82   | 10.61  | 1            |                                                                
2026-03-24 20:03:54 | 2026-03-25 | 600925 | 苏能股份 | normal | 72.15 | 4.88   | 4.7    | 5.22   | 1            | 默认持有2天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。
2026-03-25 20:19:07 | 2026-03-26 | 600025 | 华能水电 | normal | 74.98 | 10.23  | 9.87   | 10.93  | 1            | 默认持有2天；买后不强就退出；跌回MA20下方或单笔亏损4%到5%止损。
